time_s,vibration_gyro_rms,vibration_accel_rms,altitude_m_baro,temperature_C_baro,motor_output_mean_pwm,altitude_m_ekf
0.0,0.0050151008176461224,9.706025498491606,0.0,0.0,900.0,-0.09857439934938125
0.036,0.004221574970606507,9.711099093252841,0.0,0.0,900.0,-0.09873464481471436
0.04,0.004802855172505263,9.70032048361236,0.0,0.0,900.0,-0.09875244986641804
0.044,0.004274725755291432,9.686082696201336,0.0,0.0,900.0,-0.09877025491812172
0.048,0.00516995995830073,9.697606612425703,0.0,0.0,900.0,-0.0987880599698254
0.052,0.004992897000728235,9.708583541256715,0.0,0.0,900.0,-0.09880586502152908
0.056,0.0045781267881693025,9.69801781367654,0.0,0.0,900.0,-0.09882367007323276
0.06,0.004692912296493006,9.700051381617975,0.0,0.0,900.0,-0.09884147512493643
0.064,0.005384079630119106,9.696097388680677,0.0,0.0,900.0,-0.09885928017664011
0.068,0.0055538548219308545,9.708414146006884,0.0,0.0,900.0,-0.09887708522834379
0.072,0.004043239375877757,9.711198800375008,0.0,0.0,900.0,-0.09889489028004747
0.076,0.0038550028676941784,9.688313620776821,0.0,0.0,900.0,-0.0989081961602511
0.079999,0.004390138283320903,9.709776963512416,0.0,0.0,900.0,-0.09889693022300411
0.084801,0.005386771468845917,9.722363975896775,0.0,0.0,900.0,-0.09888340208330418
0.0888,0.004476617604982262,9.712832308057514,0.0,0.0,900.0,-0.0988721361460572
0.092801,0.004291655172981387,9.72201481406652,0.0,0.0,900.0,-0.098860864574433
0.096801,0.003622188215472473,9.71198701932678,0.0,0.0,900.0,-0.0988495958199974
0.100801,0.004559025362082029,9.729148356061046,0.0,0.0,900.0,-0.09883832706556181
0.104801,0.004811211946909271,9.721453948326886,0.0,0.0,900.0,-0.09882705831112622
0.108801,0.00499388320158905,9.723447433552757,0.0,0.0,900.0,-0.09881578955669063
0.112801,0.004625815010415418,9.707602482080855,0.0,0.0,900.0,-0.09880452080225503
0.116806,0.004735109113901092,9.709739849965542,0.0,0.0,900.0,-0.09879323796187639
0.120801,0.004345864484322057,9.685844742008507,0.0,0.0,900.0,-0.09878198329338385
0.124801,0.005222579172616519,9.677833393994803,0.0,0.0,900.0,-0.09877071453894826
0.128801,0.004855176397398111,9.698326072873034,0.0,0.0,900.0,-0.09875944578451266
0.132801,0.004212368286899645,9.681461306517539,0.0,0.0,900.0,-0.09874817703007707
0.136801,0.005106823696171608,9.681656385067965,0.0,0.0,900.0,-0.09873690827564147
0.140801,0.005316062417118543,9.689699014531199,0.0,0.0,900.0,-0.09872563952120587
0.144801,0.00505815988019225,9.698579839827271,0.0,0.0,900.0,-0.09871437076677028
0.148801,0.004805632250157548,9.698526718023064,0.0,0.0,900.0,-0.09870310201233469
0.152801,0.004429423822107086,9.69437501600416,0.0,0.0,900.0,-0.0986918332578991
0.156806,0.004042647748951803,9.688049508114398,0.0,0.0,900.0,-0.09868055041752047
0.1608,0.004074243705617074,9.68126637181808,0.0,0.0,900.0,-0.09866929856621652
0.164801,0.0037342167471046536,9.663486372766348,0.0,0.0,900.0,-0.09865802699459232
0.168801,0.004251211119048735,9.665092008011955,0.0,0.0,900.0,-0.09864675824015673
0.172801,0.003924828798345538,9.701470819099695,0.0,0.0,900.0,-0.09863548948572114
0.176801,0.004666200089233887,9.714247818341475,0.0,0.0,900.0,-0.09862722714302848
0.180801,0.0049784837905153916,9.703124004454004,0.0,0.0,900.0,-0.0986246916107946
0.184801,0.004491689577209837,9.705586297194769,0.0,0.0,900.0,-0.09862215607856072
0.188801,0.004574187932318576,9.692522805440246,0.0,0.0,900.0,-0.09861962054632684
0.192801,0.004497496991797626,9.69645851454316,0.0,0.0,900.0,-0.09861708501409296
0.196808,0.003658188382919454,9.703885437086438,0.0,0.0,900.0,-0.09861454504467766
0.200801,0.0032209677245883745,9.695157313250764,0.0,0.0,900.0,-0.09861201394962518
0.204801,0.004393199312195059,9.689246264563627,0.0,0.0,900.0,-0.0986094784173913
0.208801,0.004753143675999281,9.675823599214207,0.0,0.0,900.0,-0.09860694288515742
0.212801,0.004253408465915132,9.666011723793638,0.0,0.0,900.0,-0.09860440735292354
0.2176,0.004154736742145066,9.693454365369853,0.0,0.0,900.0,-0.09860136534812594
0.221593,0.00438503545969247,9.686887812215668,0.0,0.0,900.0,-0.09859883425307346
0.2256,0.0041420692173606,9.69000419853704,0.0,0.0,900.0,-0.09859629428365817
0.229594,0.004143612682652236,9.697350603434675,0.0,0.0,900.0,-0.09859376255472264
0.233612,0.004107309174767295,9.714547073638366,0.0,0.0,900.0,-0.09859121561259371
0.237593,0.003413950938836175,9.707877185585986,0.0,0.0,900.0,-0.09858869212413793
0.2416,0.0038085270323848126,9.704366620694856,0.0,0.0,900.0,-0.09858615215472263
0.245594,0.0044122035773930795,9.70807119588566,0.0,0.0,900.0,-0.09858362042578711
0.249608,0.005207500433769231,9.686388605635672,0.0,0.0,900.0,-0.0985810760191904
0.253594,0.004039905338544909,9.698254037706155,0.0,0.0,900.0,-0.09857854936131934
0.2576,0.004242578510618048,9.67913151096962,0.0,0.0,900.0,-0.09857601002578711
0.261594,0.004491216793885354,9.701300551344898,0.0,0.0,900.0,-0.09857347829685158
0.2656,0.004712470037478992,9.699285665052285,0.0,0.0,900.0,-0.09857093896131934
0.269593,0.0029009835013352353,9.691251561133923,0.0,0.0,900.0,-0.09856840786626687
0.2736,0.0028118206928372334,9.69372162679777,0.0,0.0,900.0,-0.09856586789685158
0.277593,0.0035282243182998456,9.705877553730058,0.0,0.0,900.0,-0.09856473769444361
0.2816,0.00496557990800993,9.712974172435315,0.0,0.0,900.0,-0.09856484679384689
0.285606,0.004923493359970315,9.708742860194345,0.0,0.0,900.0,-0.09856495586602297
0.2896,0.004387786407078271,9.699731724350974,0.0,0.0,900.0,-0.0985650646114726
0.293594,0.003424933017204274,9.686524150746378,0.0,0.0,900.0,-0.09856517335692225
0.2976,0.004917805979851293,9.695558058859442,0.0,0.0,900.0,-0.09856528242909833
0.301594,0.0046503520480481115,9.690184613255688,0.0,0.0,900.0,-0.09856539117454796
0.305619,0.0049022600022989365,9.716844805942502,0.0,0.0,900.0,-0.0985655007640409
0.309594,0.004345346737902692,9.714809869742137,0.0,0.0,900.0,-0.09856560899217368
0.3136,0.004055020956215551,9.713526016916733,0.0,0.0,900.0,-0.09856571806434976
0.317599,0.003345322639539333,9.689877875746074,0.0,0.0,900.0,-0.09856582694593541
